"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Pineapple","....Romblon",82.20,59.37,55.00,54.50,55.05,55.60,59.07,56.96,54.68,58.31,61.91,81.70,75.23,71.84,71.34,70.56,72.53,69.77,71.61,74.10,75.70,79.66,82.04,84.79,88.65,89.16,93.12,80.25,76.37
"Pineapple","..REGION V (BICOL REGION)",65115.75,60355.32,62985.15,63188.83,67974.80,55257.71,50944.89,61296.96,57999.93,57622.54,56571.07,73956.03,82550.57,91739.71,94641.82,104995.39,112210.45,116815.86,111529.72,109967.07,112205.41,116123.44,121734.69,124960.83,123411.46,130594.93,137991.39,127489.25,151216.84
"Pineapple","....Albay",256.00,179.55,900.00,902.00,902.09,902.09,1191.13,1199.09,1165.52,1096.37,1124.50,1113.33,1144.65,1167.19,1127.62,1099.53,1005.67,991.88,1018.16,1044.88,1063.97,972.23,886.13,782.04,637.04,622.35,560.12,455.07,418.02
"Pineapple","....Camarines Norte",62213.00,57596.00,59439.00,59644.00,64416.00,51500.00,46820.00,57112.00,53482.00,53482.00,52478.66,69581.58,77974.90,87060.55,89801.61,99892.32,107338.00,112241.09,106555.00,104789.00,106877.00,111048.00,116670.00,119834.20,118492.25,125629.77,133113.80,122605.97,146051.99
"Pineapple","....Camarines Sur",1758.24,1592.60,1658.89,1757.20,1779.09,1922.01,1937.26,1924.75,2356.45,1995.12,1875.25,2138.10,2251.24,2408.74,2564.07,2812.26,2764.69,2669.22,2820.67,2860.24,2902.75,2817.37,2824.57,2783.57,2736.03,2724.10,2824.73,2911.47,3209.52
"Pineapple","....Catanduanes",58.00,50.57,45.00,43.75,45.94,43.16,38.65,41.66,25.24,13.38,15.26,13.28,14.58,14.22,12.24,13.37,13.52,11.55,12.59,12.51,13.21,12.31,12.88,13.24,12.89,13.33,13.33,10.00,8.28
"Pineapple","....Masbate",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.00,91.20,82.96,90.45,99.05,105.00,109.84,106.61,102.20,104.40,101.00
"Pineapple","....Sorsogon",830.51,936.61,942.26,841.88,831.68,890.44,957.84,1019.46,970.71,1035.67,1077.40,1109.73,1165.22,1089.02,1136.28,1177.91,1088.57,902.12,1073.30,1169.24,1265.52,1183.08,1242.06,1442.78,1423.41,1498.76,1377.22,1402.34,1428.03
"Pineapple","..REGION VI (WESTERN VISAYAS)",10631.73,12315.06,14163.83,11097.45,14302.58,16218.08,16622.24,16627.66,9795.09,9382.99,10726.64,10234.27,10180.51,10512.93,13648.49,14497.09,15042.03,14776.10,15184.17,15424.37,14317.06,16262.70,16307.84,16258.03,17053.93,16847.02,16494.00,16910.03,17755.07
"Pineapple","....Aklan",556.95,525.23,531.62,532.28,481.63,561.79,626.74,606.69,613.95,584.38,540.39,551.04,534.86,577.44,570.42,557.61,544.91,416.36,412.99,394.28,284.87,265.28,231.30,209.76,175.90,173.73,173.27,169.78,164.84
"Pineapple","....Antique",28.50,33.20,31.90,32.25,32.25,31.73,34.05,32.56,32.52,32.70,32.90,32.95,33.24,32.94,34.19,36.39,45.78,48.94,48.11,93.50,101.90,102.02,100.44,106.93,103.19,105.40,98.35,101.92,104.22
"Pineapple","....Capiz",116.78,116.05,113.80,115.44,108.55,114.18,137.08,133.09,133.01,133.87,134.32,134.43,136.26,140.48,143.58,140.54,142.86,157.54,184.75,168.00,193.85,229.80,250.00,224.00,210.90,221.62,203.40,248.05,228.20
"Pineapple","....Guimaras",21.50,21.00,20.50,22.00,22.22,21.80,25.00,28.55,20.58,23.86,21.54,21.83,20.84,27.69,30.04,32.14,34.90,37.04,39.93,39.75,32.05,33.35,31.34,34.67,44.17,37.49,34.57,36.67,31.76
"Pineapple","....Iloilo",8920.00,9998.99,11865.10,8792.65,12047.11,13884.15,14108.03,14211.63,7501.88,7091.56,8450.91,7871.09,7725.06,7247.82,8571.68,9432.60,9681.69,9427.85,9968.00,10171.75,9431.00,11323.00,11257.00,11380.00,12161.00,12148.70,12030.50,12395.40,12959.00
"Pineapple","....Negros Occidental",988.00,1620.60,1600.91,1602.83,1610.82,1604.44,1691.34,1615.15,1493.15,1516.63,1546.58,1622.93,1730.25,2486.56,4298.58,4297.81,4591.89,4688.37,4530.39,4557.09,4273.39,4309.24,4437.76,4302.67,4358.77,4160.08,3953.90,3958.21,4267.05
"Pineapple","..REGION VII (CENTRAL VISAYAS)",2996.59,3057.91,3076.74,3375.66,3738.15,3466.25,3199.23,2828.41,2567.34,2807.91,3097.80,3236.83,3501.73,3605.97,3219.56,3071.56,3978.21,4534.61,4887.40,4867.33,4173.48,4626.42,4616.52,5379.82,6900.18,6306.35,4359.07,4939.02,6041.25
"Pineapple","....Bohol",60.00,99.00,95.00,96.97,98.27,116.00,117.09,118.05,112.56,113.47,279.39,348.53,462.70,509.43,555.37,546.79,718.03,753.68,794.19,857.35,896.17,875.32,896.86,963.99,909.77,916.00,689.80,731.27,836.08
"Pineapple","....Cebu",215.11,199.38,196.40,206.22,211.35,211.38,222.52,214.34,195.63,196.87,214.75,233.56,236.90,210.51,186.81,170.78,137.42,114.47,105.11,108.73,90.18,92.43,99.51,79.89,82.90,75.95,70.25,72.42,60.47
"Pineapple","....Negros Oriental",2715.68,2753.53,2779.44,3067.07,3422.83,3133.02,2853.52,2490.22,2253.95,2491.97,2597.85,2648.89,2796.53,2880.52,2471.44,2348.37,3116.75,3659.91,3980.85,3893.35,3180.34,3650.50,3612.46,4327.39,5900.20,5308.36,3594.49,4129.38,5140.08
"Pineapple","....Siquijor",5.80,6.00,5.90,5.40,5.70,5.85,6.10,5.80,5.20,5.60,5.81,5.85,5.60,5.51,5.94,5.62,6.01,6.55,7.25,7.90,6.79,8.17,7.69,8.55,7.31,6.04,4.53,5.95,4.62
"Pineapple","..REGION VIII (EASTERN VISAYAS)",4052.23,4326.49,5368.88,5137.68,5538.93,5399.40,5739.61,5632.51,5139.41,5641.92,5783.51,5759.48,6010.06,6071.46,6215.14,6284.29,6410.85,6849.88,7396.59,7475.50,7468.40,7377.33,7456.57,7485.20,6706.43,7185.80,8014.63,8102.35,7977.80
"Pineapple","....Biliran",..,..,..,..,459.04,474.05,553.15,484.49,429.48,522.89,528.12,522.22,521.03,420.44,415.75,386.50,381.00,391.00,375.50,373.24,382.30,382.44,382.86,359.38,333.00,340.85,344.30,328.00,272.00
"Pineapple","....Eastern Samar",480.80,439.50,473.94,442.25,444.54,461.25,490.97,502.37,511.27,512.92,514.24,325.95,464.75,474.69,482.64,504.51,537.36,558.30,569.65,579.14,580.85,588.92,592.73,578.90,541.41,529.49,540.54,490.58,469.00
"Pineapple","....Leyte",1203.39,1581.74,1480.24,1517.84,1367.80,1421.45,1478.26,1435.66,1420.40,1471.93,1546.69,1637.86,1712.14,1763.08,1804.55,1846.33,1873.88,2013.53,2031.84,2091.41,2028.12,1940.12,1990.73,2028.90,1441.84,1810.99,2867.26,2937.65,2829.94
"Pineapple","....Northern Samar",18.50,19.16,18.00,18.28,18.46,18.13,18.83,15.44,15.21,14.83,14.77,15.17,15.41,16.18,18.42,20.10,21.70,23.67,24.93,25.81,26.78,27.69,28.47,37.63,39.14,39.33,38.60,39.74,40.91
"Pineapple","....Samar",2298.29,2218.54,3351.99,3114.87,3201.99,2975.38,3146.94,3037.31,2733.58,2952.27,3010.94,3041.05,3072.61,3164.40,3258.92,3291.51,3370.82,3628.03,4158.49,4164.50,4218.60,4211.59,4236.50,4248.22,4130.00,4248.50,4003.13,4082.70,4139.47
"Pineapple","....Southern Leyte",51.25,67.55,44.72,44.44,47.10,49.14,51.46,157.25,29.49,167.08,168.75,217.23,224.13,232.66,234.86,235.34,226.09,235.35,236.18,241.40,231.75,226.57,225.28,232.17,221.04,216.64,220.80,223.68,226.48
"Pineapple","..REGION IX (ZAMBOANGA PENINSULA)",1135.21,1368.10,1534.68,1729.12,1831.32,1773.28,2037.05,2186.95,2280.11,2721.02,3450.59,3704.05,3636.72,3652.55,3272.05,2593.38,2380.31,2337.14,2435.75,2288.81,1991.98,1863.53,1709.98,1839.68,1882.69,1657.14,1398.27,1365.99,1055.69
"Pineapple","....Zamboanga del Norte",303.98,335.09,481.28,674.10,761.67,813.28,915.49,1101.88,1244.69,1652.25,1881.36,2100.69,2123.50,2318.89,2064.02,1550.69,1472.53,1517.21,1573.01,1506.68,1216.93,1013.83,949.44,1019.39,1135.63,1037.88,827.65,830.65,565.99
"Pineapple","....Zamboanga del Sur",766.03,981.52,1003.40,1004.61,1018.75,908.20,1066.63,1031.56,981.11,1014.32,1513.57,1004.76,940.48,789.09,658.06,537.65,464.10,406.37,451.63,386.28,406.03,509.61,435.35,530.22,453.53,390.78,348.73,323.65,297.47
"Pineapple","....Zamboanga Sibugay",..,..,..,..,..,..,..,..,..,..,..,541.03,513.80,500.97,495.32,452.71,388.83,350.49,345.39,327.95,296.91,262.75,214.69,178.88,179.70,112.31,104.93,92.82,76.59
"Pineapple","......City of Zamboanga",65.20,51.50,50.00,50.41,50.91,51.80,54.94,53.51,54.31,54.45,55.66,57.57,58.94,43.60,54.65,52.33,54.85,63.07,65.72,67.90,72.11,77.35,110.50,111.19,113.83,116.18,116.96,118.87,115.64
"Pineapple","..REGION X (NORTHERN MINDANAO)",611089.63,617018.09,697103.96,703008.39,712340.98,759433.91,766260.68,710013.54,735132.53,784178.80,786166.35,799581.48,801546.16,840133.76,889592.98,891580.63,911160.20,924505.32,1007022.34,1026905.28,1067607.50,1159697.74,1294584.09,1341568.73,1392652.07,1468386.88,1516920.31,1554637.14,1572162.73
"Pineapple","....Bukidnon",608210.10,613783.57,694306.07,699891.37,708169.14,754600.00,760751.21,705513.62,732119.60,780256.14,782320.99,795574.95,797309.14,835993.53,885314.98,887330.00,906890.00,919980.00,1000895.00,1014350.00,1027875.00,1118988.96,1279000.00,1328500.00,1355200.00,1420675.00,1462850.00,1484321.00,1499550.00
