"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","..REGION VI (WESTERN VISAYAS)",606.00,624.00,699.00,683.00,665.00,824.00,623.00,796.00,707.00,620.07,462.95,530.63,447.25,851.27,789.80,1130.68,1579.23,1337.87,1679.24,1567.89,1492.42,1853.36,2236.46,1741.29,1599.11,1958.81,2969.70,3341.68,3267.34
"Abaca","....Aklan",107.00,338.00,416.00,413.00,421.00,488.00,413.00,530.00,522.00,483.90,361.37,433.82,396.12,585.44,589.28,802.22,1060.53,822.52,1172.03,1134.95,1089.15,1417.38,1731.66,1355.40,1207.53,1480.86,2461.28,2801.90,2734.41
"Abaca","....Antique",12.00,8.00,6.00,6.00,7.00,9.00,9.00,9.00,10.00,10.47,10.55,10.53,1.76,8.09,12.95,16.21,40.51,60.11,56.54,62.37,59.89,56.42,51.59,49.61,49.16,58.75,59.03,68.73,64.44
"Abaca","....Capiz",2.00,2.00,1.00,..,..,..,..,..,..,..,..,..,..,4.00,2.70,11.00,12.80,12.90,14.02,15.55,11.92,15.15,19.80,19.87,61.11,93.05,152.61,201.67,206.48
"Abaca","....Guimaras",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Iloilo",429.00,240.00,248.00,244.00,209.00,302.00,195.00,252.00,170.00,122.20,42.99,43.73,48.33,253.00,179.97,295.04,458.83,435.79,431.10,350.00,327.11,360.64,428.21,310.97,240.77,264.79,236.65,206.88,203.61
"Abaca","....Negros Occidental",56.00,36.00,28.00,20.00,28.00,25.00,6.00,5.00,5.00,3.50,48.04,42.55,1.04,0.74,4.90,6.21,6.56,6.55,5.55,5.02,4.35,3.77,5.20,5.44,40.54,61.36,60.13,62.50,58.40
"Abaca","..REGION VII (CENTRAL VISAYAS)",395.00,490.00,226.00,171.00,129.00,206.00,358.00,302.00,347.00,207.47,216.12,161.93,163.96,190.90,310.64,605.50,389.69,470.17,731.30,382.70,332.34,397.07,414.25,414.57,492.97,555.19,507.48,557.72,504.22
"Abaca","....Bohol",9.00,61.00,47.00,18.00,41.00,66.00,60.00,58.00,62.00,4.70,10.10,8.62,2.84,14.33,28.17,8.67,7.30,22.30,280.33,16.80,38.70,56.30,30.94,16.10,6.28,2.25,0.96,..,..
"Abaca","....Cebu",147.00,182.00,56.00,14.00,8.00,15.00,34.00,15.00,3.00,6.47,5.81,5.83,5.74,5.13,6.77,9.78,10.90,13.26,13.68,14.97,15.02,16.39,21.50,16.87,10.01,14.25,14.10,6.51,8.28
"Abaca","....Negros Oriental",239.00,247.00,123.00,139.00,80.00,125.00,264.00,229.00,282.00,196.30,200.21,147.49,155.38,171.44,275.70,587.05,371.49,434.61,437.29,350.93,278.62,324.38,361.81,381.60,476.68,538.69,492.42,551.21,495.94
"Abaca","....Siquijor",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","..REGION VIII (EASTERN VISAYAS)",24100.00,24129.00,22666.00,22442.00,25424.00,23321.00,26186.00,27263.00,28533.00,28739.30,30174.06,29952.46,27011.81,29260.62,27250.34,29117.26,25787.77,24752.39,23779.44,21239.44,20326.42,20023.43,19190.87,16597.42,12849.25,12752.59,12492.61,12671.07,12549.33
"Abaca","....Biliran",..,..,..,..,..,..,7.00,21.00,28.00,23.00,21.16,15.45,7.84,38.35,19.68,68.09,32.50,36.50,306.54,24.90,75.05,127.00,98.90,81.42,69.80,122.75,131.50,133.00,99.00
"Abaca","....Eastern Samar",6.00,7.00,1.00,17.00,5.00,4.00,1318.00,1149.00,1110.00,923.20,866.41,866.48,243.70,510.45,291.20,986.58,396.05,425.60,410.90,404.50,400.01,397.31,401.01,369.90,291.95,122.96,79.51,17.46,18.10
"Abaca","....Leyte",8251.00,7296.00,6068.00,7198.00,5209.00,4798.00,5995.00,6751.00,7265.00,6921.40,7803.92,9783.36,7645.78,9712.83,11969.18,11142.58,12043.20,10905.90,10144.23,9231.74,8371.66,7426.70,6606.68,4832.89,1482.53,1531.89,1616.72,1584.96,1456.83
"Abaca","....Northern Samar",2466.00,2714.00,3109.00,3026.00,2975.00,3030.00,3300.00,2990.00,2349.00,4900.80,5079.89,6866.29,1953.51,2527.23,3651.74,5804.23,4752.97,4870.42,5049.16,5204.30,5447.70,7195.94,7329.89,7433.55,7579.32,7550.15,7241.25,7234.90,7149.15
"Abaca","....Samar",3344.00,3854.00,5277.00,4568.00,5672.00,4770.00,3955.00,3292.00,3329.00,2708.90,4306.17,4399.06,2023.74,3796.76,2629.26,2624.77,1710.26,1716.97,1740.61,1729.00,1807.00,1374.59,1382.39,1381.40,1270.00,1318.00,1313.25,1342.00,1380.00
"Abaca","....Southern Leyte",10033.00,10258.00,8211.00,7633.00,11563.00,10719.00,11611.00,13060.00,14452.00,13262.00,12096.50,8021.82,15137.24,12675.00,8689.28,8491.01,6852.79,6797.00,6128.00,4645.00,4225.00,3501.89,3372.00,2498.26,2155.65,2106.84,2110.38,2358.75,2446.25
"Abaca","..REGION IX (ZAMBOANGA PENINSULA)",435.00,383.00,398.00,367.00,959.00,894.00,674.00,433.00,394.00,241.62,187.41,168.46,110.72,123.30,113.43,148.35,113.23,221.16,177.10,198.11,230.96,630.77,675.30,589.54,678.55,676.78,597.16,607.32,609.77
"Abaca","....Zamboanga del Norte",19.00,21.00,19.00,18.00,21.00,22.00,22.00,23.00,3.00,2.50,39.76,39.62,11.00,15.33,32.10,57.98,36.83,40.60,49.47,56.89,73.65,160.85,167.10,174.53,186.95,197.05,169.09,171.74,159.34
"Abaca","....Zamboanga del Sur",72.00,21.00,50.00,38.00,425.00,387.00,215.00,37.00,107.00,6.20,51.13,41.49,4.17,18.41,13.84,38.04,34.74,51.99,38.43,39.63,38.77,102.48,98.87,111.25,134.98,143.68,134.61,131.99,130.07
"Abaca","....Zamboanga Sibugay",..,..,..,..,..,..,..,..,..,..,..,16.14,16.49,26.08,15.59,10.87,17.52,99.93,60.01,71.92,88.23,294.14,302.73,182.59,196.22,152.73,146.21,155.11,160.28
"Abaca","......City of Zamboanga",344.00,341.00,329.00,311.00,513.00,485.00,437.00,373.00,284.00,232.92,96.52,71.21,79.06,63.48,51.90,41.46,24.14,28.64,29.19,29.67,30.31,73.30,106.60,121.17,160.40,183.32,147.25,148.48,160.08
"Abaca","..REGION X (NORTHERN MINDANAO)",1126.00,1058.00,1476.00,1960.00,2010.00,1749.00,2022.00,2290.00,2177.00,2003.47,2037.19,2094.40,1184.68,1139.83,1267.46,1765.85,1553.13,1569.48,1614.85,1741.23,1767.88,1824.77,2042.71,2243.88,3120.36,3198.57,3316.93,3417.47,3482.39
"Abaca","....Bukidnon",1028.00,836.00,1398.00,1722.00,1759.00,1516.00,1829.00,1670.00,2038.00,1889.70,1928.75,1972.21,1046.16,1081.83,1114.87,1338.65,1396.07,1395.00,1400.00,1430.00,1455.00,1515.00,1447.00,1470.00,2260.69,2317.32,2385.00,2517.55,2598.34
"Abaca","....Camiguin",52.00,44.00,43.00,37.00,34.00,31.00,31.00,34.00,34.00,27.47,7.88,2.28,0.50,2.50,4.65,4.75,6.74,15.20,29.37,27.60,18.58,22.14,27.07,27.50,23.22,21.25,22.18,19.02,16.35
"Abaca","....Lanao del Norte",36.00,141.00,12.00,131.00,142.00,156.00,147.00,148.00,19.00,41.00,50.76,64.13,72.18,2.50,45.32,61.12,36.91,39.75,41.83,112.25,98.00,91.00,109.00,119.00,142.11,156.50,192.00,148.53,149.50
