"Corn:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by PHILIPPINES, Area Harvested and Year"

"PHILIPPINES","Area Harvested","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"..REGION IX (ZAMBOANGA PENINSULA)","Urea",0.68,0.85,0.87,1.64,1.16,0.80,0.64,0.63,0.74,0.79,1.28,1.68
"..REGION IX (ZAMBOANGA PENINSULA)","Ammosul",0.28,0.40,0.39,0.75,0.46,0.32,0.38,0.34,0.28,0.56,0.57,0.55
"..REGION IX (ZAMBOANGA PENINSULA)","Ammophos",0.60,0.58,0.93,1.02,0.58,1.01,0.70,0.68,1.28,1.02,1.32,1.44
"..REGION IX (ZAMBOANGA PENINSULA)","Complete",0.33,0.31,0.41,0.54,0.63,0.43,0.48,0.59,0.83,0.74,0.64,0.51
"..REGION IX (ZAMBOANGA PENINSULA)","Others",..,0.02,0.07,0.06,0.02,0.03,0.06,..,..,..,0.79,..
"..REGION IX (ZAMBOANGA PENINSULA)","Area Harvested",184992.00,183005.00,163365.00,160386.00,154101.00,129061.00,135850.00,142559.00,132407.00,134979.00,125949.00,130116.00
"..REGION X (NORTHERN MINDANAO)","Area Applied",348798.00,327315.00,327010.00,287768.00,353257.00,381373.00,313611.00,327538.00,364059.00,375655.28,372565.00,245332.99
"..REGION X (NORTHERN MINDANAO)","Average Quantity Applied",5.45,6.01,3.90,4.88,5.64,5.59,5.17,5.29,5.59,6.07,4.89,5.88
"..REGION X (NORTHERN MINDANAO)","Urea",2.08,2.26,1.17,1.65,2.06,2.17,1.82,2.34,2.47,2.61,1.88,2.65
"..REGION X (NORTHERN MINDANAO)","Ammosul",0.58,0.65,0.53,1.04,0.69,0.67,0.87,0.48,0.52,0.48,0.39,0.83
"..REGION X (NORTHERN MINDANAO)","Ammophos",1.22,1.53,0.94,1.25,1.56,1.37,1.24,0.91,1.06,1.00,0.77,1.09
"..REGION X (NORTHERN MINDANAO)","Complete",1.28,1.09,0.97,0.86,1.19,1.37,1.20,1.56,1.54,1.98,1.57,1.31
"..REGION X (NORTHERN MINDANAO)","Others",0.28,0.49,0.29,0.09,0.13,0.01,0.04,..,0.01,..,0.27,..
"..REGION X (NORTHERN MINDANAO)","Area Harvested",377276.00,393149.00,381499.00,378273.00,369839.00,383695.00,381373.00,365955.00,364059.00,376800.00,372565.00,374646.00
"..REGION XI (DAVAO REGION)","Area Applied",124081.00,66287.00,71548.00,81590.00,89887.00,149624.00,104645.00,104828.00,149081.00,145154.94,159378.00,104408.79
